sigl,cellid,enbrnc,lcid,xarfcn,unit,band,fc,asu,signal,lat,lon,acc,bearing,alt,rsrq,rssnr,ss,ta,Temperature,Dew Point,Humidity,WindSpeed,WindGust,Pressure,Precip
2,5125665,20022,33,67011,170,66,2167.5,26,-114,39.0337354,-94.5764633,13.6,100.8,246.9,-9,-0.4,11,1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,36,-104,39.0336736,-94.5764557,572.5,0,249.9,-16,0.8,23,1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,34,-106,39.0336707,-94.57641,20.3,106.9,249.9,-15,1.6,21,1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,38,-102,39.0336853,-94.5763621,12.3,153.6,250,-14,2.6,24,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,45,-95,39.0337001,-94.5763432,11,0.9,249.8,-12,8.4,25,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,46,-94,39.0337321,-94.5762948,12.6,28.9,249.9,-12,5,25,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337344,-94.576289,16.2,146.4,249.8,-12,9.4,28,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337339,-94.5762905,16.7,49,249.8,-14,14.2,30,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,54,-86,39.0337399,-94.5762889,15.1,27.4,249.9,-12,10,28,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337482,-94.5762742,15.5,222.1,249.9,-8,11.2,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.033752,-94.5762699,16.3,40.3,249.9,-8,13.2,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337241,-94.5762925,15.1,100.6,249.9,-8,11.2,27,-1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,36,-104,39.0336736,-94.5764557,572.5,0,249.9,-16,0.8,23,1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,34,-106,39.0336707,-94.57641,20.3,106.9,249.9,-15,1.6,21,1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,38,-102,39.0336853,-94.5763621,12.3,153.6,250,-14,2.6,24,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,45,-95,39.0337001,-94.5763432,11,0.9,249.8,-12,8.4,25,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,46,-94,39.0337321,-94.5762948,12.6,28.9,249.9,-12,5,25,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337344,-94.576289,16.2,146.4,249.8,-12,9.4,28,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337339,-94.5762905,16.7,49,249.8,-14,14.2,30,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,54,-86,39.0337399,-94.5762889,15.1,27.4,249.9,-12,10,28,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337482,-94.5762742,15.5,222.1,249.9,-8,11.2,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.033752,-94.5762699,16.3,40.3,249.9,-8,13.2,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337241,-94.5762925,15.1,100.6,249.9,-8,11.2,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337303,-94.5762915,15,208.4,249.8,-11,10.4,28,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337296,-94.5762901,15.1,84.1,249.8,-9,12.4,27,1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,36,-104,39.0336736,-94.5764557,572.5,0,249.9,-16,0.8,23,1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,34,-106,39.0336707,-94.57641,20.3,106.9,249.9,-15,1.6,21,1,80,73,79,12,30,28.78,0
3,5125645,20022,13,876,2,2,1957.6,38,-102,39.0336853,-94.5763621,12.3,153.6,250,-14,2.6,24,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,45,-95,39.0337001,-94.5763432,11,0.9,249.8,-12,8.4,25,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,46,-94,39.0337321,-94.5762948,12.6,28.9,249.9,-12,5,25,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337344,-94.576289,16.2,146.4,249.8,-12,9.4,28,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337339,-94.5762905,16.7,49,249.8,-14,14.2,30,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,54,-86,39.0337399,-94.5762889,15.1,27.4,249.9,-12,10,28,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337482,-94.5762742,15.5,222.1,249.9,-8,11.2,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.033752,-94.5762699,16.3,40.3,249.9,-8,13.2,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337241,-94.5762925,15.1,100.6,249.9,-8,11.2,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337303,-94.5762915,15,208.4,249.8,-11,10.4,28,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337296,-94.5762901,15.1,84.1,249.8,-9,12.4,27,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337475,-94.5762852,15.3,81.5,249.9,-8,13.4,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.033757,-94.5762855,17,313.9,249.9,-14,16.8,30,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337294,-94.5762902,15,155.9,249.9,-9,12,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337329,-94.5762904,17.2,342.3,249.8,-14,11.6,29,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337282,-94.5762897,15.1,180.6,249.8,-11,6.4,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,49,-91,39.0337268,-94.5762903,15.1,191.4,249.8,-12,6.4,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337236,-94.5762968,15,264.1,249.9,-12,8,29,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337256,-94.5762974,15,352.3,250,-13,6.8,30,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337251,-94.5762915,15.1,37.4,249.8,-11,8,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.033724,-94.5762974,16.4,179.3,250,-11,7.4,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337254,-94.5762973,15,3,250,-11,8.4,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337288,-94.5762926,15.1,107.5,249.8,-16,3.8,31,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337245,-94.5762972,15,294.9,250,-15,6.2,30,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337166,-94.5762987,15,108.6,249.8,-14,6.8,30,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337194,-94.5762956,15,34,249.9,-14,6.4,30,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337218,-94.5762962,15,354.7,250,-14,6.4,30,1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.033719,-94.5762961,15,359.9,249.8,-12,5.8,29,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337191,-94.5762953,15,94.9,250,-10,7.6,27,-1,80,73,79,12,30,28.78,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337508,-94.5762842,738.7,0,249.9,-14,4,30,1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337508,-94.5762842,738.7,0,249.9,-14,4,30,1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,48,-92,39.0337279,-94.5762925,15,124.9,249.9,-10,7.6,25,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,48,-92,39.0337278,-94.5762929,15,184.6,249.8,-10,6.8,25,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337508,-94.5762842,738.7,0,249.9,-14,4,30,1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,48,-92,39.0337279,-94.5762925,15,124.9,249.9,-10,7.6,25,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,48,-92,39.0337278,-94.5762929,15,184.6,249.8,-10,6.8,25,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337359,-94.5762845,15.1,289.6,249.9,-12,4,28,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337349,-94.5762863,15.1,242.5,249.9,-12,7.2,28,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337191,-94.5762955,15,205.2,250,-15,8.2,30,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337174,-94.5762902,142.7,112.9,249.8,-10,5.8,28,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337508,-94.5762842,738.7,0,249.9,-14,4,30,1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,48,-92,39.0337279,-94.5762925,15,124.9,249.9,-10,7.6,25,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,48,-92,39.0337278,-94.5762929,15,184.6,249.8,-10,6.8,25,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337359,-94.5762845,15.1,289.6,249.9,-12,4,28,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337349,-94.5762863,15.1,242.5,249.9,-12,7.2,28,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337191,-94.5762955,15,205.2,250,-15,8.2,30,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337174,-94.5762902,142.7,112.9,249.8,-10,5.8,28,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337352,-94.5762812,25,19.8,249.8,-13,9.8,29,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337371,-94.5762872,15.1,14.7,250,-13,10.6,29,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337432,-94.5762717,140.7,91.1,250,-14,8.6,30,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337279,-94.5762901,16.4,175,249.8,-13,11.4,29,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,52,-88,39.0337278,-94.5762906,16.4,357.1,249.8,-13,12.8,29,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,51,-89,39.0337272,-94.5762917,15,239,249.9,-11,10.6,29,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,54,-86,39.0337345,-94.5762835,28.6,18.2,249.8,-13,8,30,0,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337341,-94.5762839,32.1,279.6,246.9,-12,9.2,29,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.033734,-94.5762841,42.8,246.1,250,-13,14,30,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337339,-94.5762841,45.9,231,249.9,-13,14,30,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337339,-94.5762841,42,276.2,250,-15,14,30,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,53,-87,39.0337339,-94.5762841,36.4,194.6,249.8,-15,11.6,30,-1,71,68,90,7,0,28.79,0
4,5125645,20022,13,876,2,2,1957.6,54,-86,39.0337337,-94.5762843,23.1,206.5,249.9,-13,13,30,-1,71,68,90,7,0,28.79,0
