signal,timerange,Temperature,DewPoint,Humidity,Wind,WindSpeed,WindGust,Pressure,Condition
-92,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-92,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-94,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-94,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-93,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-78,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-71,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-71,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-71,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-73,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-69,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-69,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-70,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-71,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-71,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-67,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-67,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-78,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-81,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-91,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
