cellid,sigl,acc,bearing,alt,rsrq,rssnr,ta,WindSpeed,WindGust,Precip
5122562,2,9.6,192.8,254.4,-19,-7.6,-1,12 ,30 ,0.0 
5122562,2,6.4,345.8,254.1,-20,-3.8,7,12 ,30 ,0.0 
5122562,2,7.5,327.4,253.9,-20,7.6,7,12 ,30 ,0.0 
9087500,3,5.7,183.5,254.4,-11,12.8,-1,12 ,30 ,0.0 
9087500,4,6.4,182,255.4,-13,12,6,12 ,30 ,0.0 
9087500,4,7.5,180,255.4,-17,0.6,5,12 ,30 ,0.0 
9087500,4,6.4,188,255.4,-10,18.6,-1,12 ,30 ,0.0 
9087500,4,6.4,182.9,255.4,-10,15.4,-1,12 ,30 ,0.0 
9087500,4,6.4,182,255.4,-10,15.4,-1,12 ,30 ,0.0 
9087500,4,32.8,180.1,244.3,-11,8.2,-1,12 ,30 ,0.0 
9087500,3,10.7,181.1,244.3,-15,-1.6,5,12 ,30 ,0.0 
9087500,3,8.6,182,244.3,-15,-1.6,5,12 ,30 ,0.0 
9087500,4,6.4,177.2,244.3,-14,7,-1,12 ,30 ,0.0 
9844235,4,8.6,174.3,244.3,-16,3.2,-1,12 ,30 ,0.0 
9844235,4,7.5,208.8,243,-16,2.6,-1,12 ,30 ,0.0 
9844235,4,9.7,176.2,243,-16,1,6,12 ,30 ,0.0 
9844235,3,22.5,179.9,242.6,-18,-4.6,-1,12 ,30 ,0.0 
9844235,3,19.5,245.4,239.8,-18,10.4,-1,12 ,30 ,0.0 
9087500,4,15.8,180.7,243,-14,9,5,12 ,30 ,0.0 
9087500,4,15.8,180.7,243,-14,9,6,12 ,30 ,0.0 
9087500,4,7,202.3,243.2,-14,10.4,6,12 ,30 ,0.0 
5130754,4,10.7,274,209.5,-7,13.4,-1,12 ,30 ,0.0 
5130754,4,29.3,254.6,220.3,-7,3,-1,12 ,30 ,0.0 
5130754,4,19.8,214.4,220.3,-16,-5.2,3,12 ,30 ,0.0 
5130754,4,7,264.9,220.3,-16,0.2,3,12 ,30 ,0.0 
5130754,4,9.6,186.9,220.3,-15,9.6,3,12 ,30 ,0.0 
10108929,4,9.6,190.4,220.3,-14,-3.6,3,12 ,30 ,0.0 
10108929,4,12.9,304.9,220.3,-14,-3.6,3,12 ,30 ,0.0 
10108929,4,8.6,35.5,220.3,-16,5.6,4,12 ,30 ,0.0 
10108929,4,17.3,105.1,220.3,-14,12.8,-1,12 ,30 ,0.0 
10108929,4,17.7,16.6,220.3,-14,0.2,-1,12 ,30 ,0.0 
10108929,4,11.9,146.5,220.3,-13,-2.8,4,12 ,30 ,0.0 
10108929,4,17.1,179.2,220.3,-13,-5.6,4,12 ,30 ,0.0 
5130754,4,6.4,175.7,220.3,-14,3.6,4,12 ,30 ,0.0 
5130754,4,12.9,184.9,220.3,-14,3.2,4,12 ,30 ,0.0 
5130754,4,9.6,342.5,220.3,-12,6.6,-1,12 ,30 ,0.0 
5130754,4,8.6,16.1,220.3,-15,5.2,5,12 ,30 ,0.0 
5130754,4,7.5,336.4,220.3,-15,5,5,12 ,30 ,0.0 
5130754,4,5.7,183.3,226.8,-13,6.4,-1,12 ,30 ,0.0 
5130754,4,8,187.8,226.8,-11,6.2,3,12 ,30 ,0.0 
5130754,4,9.6,175.6,227.8,-11,7.4,3,12 ,30 ,0.0 
5130754,4,12.9,93.6,227.8,-12,3.4,-1,12 ,30 ,0.0 
5130754,4,8,177,227.5,-14,4.6,-1,12 ,30 ,0.0 
5130754,4,9.6,179.9,230.8,-16,-3.4,5,12 ,30 ,0.0 
10108931,4,8.6,182.3,230.8,-9,14.2,-1,12 ,30 ,0.0 
10108931,4,6.4,194.5,230,-9,9.4,-1,12 ,30 ,0.0 
10108931,4,8,192.6,230,-13,10.6,2,12 ,30 ,0.0 
10108931,4,8.3,198.1,235.4,-13,10.8,2,12 ,30 ,0.0 
5130497,4,7.3,197.4,235.4,-11,11.2,-1,12 ,30 ,0.0 
5130497,4,7.5,178.9,235.4,-11,13.6,-1,12 ,30 ,0.0 
5130497,4,7,178.4,235.4,-10,11.4,2,12 ,30 ,0.0 
5130497,4,8.6,179.8,235.4,-14,7.4,2,12 ,30 ,0.0 
5130497,4,8.2,181.1,228.6,-14,-1.2,2,12 ,30 ,0.0 
5130497,4,13.5,181,230.3,-16,1.4,-1,12 ,30 ,0.0 
5130497,4,15,177,230.3,-16,5.4,-1,12 ,30 ,0.0 
10118669,4,9.6,182.7,230.3,-12,1.6,-1,12 ,30 ,0.0 
25670668,4,8.2,182.8,230.3,-14,-3.2,3,12 ,30 ,0.0 
25670668,4,10.4,184.3,238.3,-14,12.2,3,12 ,30 ,0.0 
25670668,4,8.7,184.1,238.2,-12,-1.2,3,12 ,30 ,0.0 
25670668,4,7.5,90.7,238.3,-12,2.8,3,12 ,30 ,0.0 
5125645,4,9.6,91.1,238.3,-17,3,-1,12 ,30 ,0.0 
5125645,4,7.5,86.8,238.3,-20,4.8,6,12 ,30 ,0.0 
25670668,4,4.3,101.5,228.1,-15,-1.8,-1,12 ,30 ,0.0 
25670668,4,6.9,97,227.8,-12,-2.4,4,12 ,30 ,0.0 
25670668,4,9.6,119.7,227.8,-12,-1.2,4,12 ,30 ,0.0 
10118668,4,8.6,172.4,228.1,-14,7,5,12 ,30 ,0.0 
10118668,4,8.4,352.6,228.1,-14,2.6,5,12 ,30 ,0.0 
10118668,4,35.6,356.9,228.1,-14,3.6,5,12 ,30 ,0.0 
10118668,4,21.3,122.7,228.1,-13,3.6,-1,12 ,30 ,0.0 
10118668,4,16.6,359.8,229.3,-13,-3,-1,12 ,30 ,0.0 
10118668,4,21.5,67,229.3,-14,5.2,-1,12 ,30 ,0.0 
10118668,4,11.4,90.6,229.3,-14,7.8,-1,12 ,30 ,0.0 
10118668,4,9.1,90.1,229.3,-10,4,-1,12 ,30 ,0.0 
10118668,4,9.1,300.5,229.3,-10,7,-1,12 ,30 ,0.0 
10118668,4,5.1,303.7,229.3,-10,6.8,-1,12 ,30 ,0.0 
10118668,4,67.9,37.8,229.3,-11,3.6,-1,12 ,30 ,0.0 
10118668,4,7.4,85.2,229.3,-11,3,-1,12 ,30 ,0.0 
10118668,4,7.9,103.9,229.3,-11,3,-1,12 ,30 ,0.0 
10118668,4,13.3,52.2,229.3,-13,4.6,-1,12 ,30 ,0.0 
10118668,4,18.6,53.5,226.4,-13,7.4,-1,12 ,30 ,0.0 
10118668,4,15.7,76.2,222.5,-13,4,-1,12 ,30 ,0.0 
10118668,4,13.7,74,221.4,-13,4,-1,12 ,30 ,0.0 
10118668,4,11.7,97,221.8,-13,4.6,-1,12 ,30 ,0.0 
10118668,4,13.4,84,222.1,-13,3.8,-1,12 ,30 ,0.0 
10118668,4,15.2,84.2,222.6,-13,3.8,-1,12 ,30 ,0.0 
10118668,4,16.1,69.2,223,-10,2,-1,12 ,30 ,0.0 
10118668,4,11.5,75.8,222.7,-10,6,-1,12 ,30 ,0.0 
10118668,4,22.7,214.7,222.2,-13,6,4,12 ,30 ,0.0 
10118668,4,20.9,83.7,222.7,-13,9,4,12 ,30 ,0.0 
10118668,4,19.6,82.2,222.2,-14,6.6,4,12 ,30 ,0.0 
10118668,4,18.7,100.1,222.7,-10,12.4,-1,12 ,30 ,0.0 
10118668,4,18.5,125.4,225.2,-10,12.4,-1,12 ,30 ,0.0 
10118668,4,22.4,107.2,228.1,-10,7.4,-1,12 ,30 ,0.0 
10118668,4,20.9,147,228.1,-14,6.8,4,12 ,30 ,0.0 
10118668,4,12.7,87.5,228.1,-14,8.8,4,12 ,30 ,0.0 
10118668,4,9.7,72.1,224.1,-13,8,-1,12 ,30 ,0.0 
10118668,4,11.9,51.9,224.1,-15,0,5,12 ,30 ,0.0 
