cellid,enbrnc,xarfcn,unit,band,fc,signal,lat,lon,speed,rsrq,ss,WindGust,Pressure,Precip
5122562,20010,66611,445,66,2127.5,-91,39.0635717,-94.5858522,1.3,-14,28,30,28.78,0
5122562,20010,66611,445,66,2127.5,-86,39.0635528,-94.585843,0.3,-12,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-88,39.063561,-94.5858442,0.1,-10,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-89,39.0635646,-94.5858413,0.1,-12,28,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.0635641,-94.5858474,0.1,-9,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.0635644,-94.5858506,0.1,-9,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-88,39.0635323,-94.5858705,0.7,-13,29,30,28.78,0
5122562,20010,66611,445,66,2127.5,-92,39.0634434,-94.5858075,8.4,-13,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-91,39.0617818,-94.5857834,14.7,-14,28,30,28.78,0
5122562,20010,66611,445,66,2127.5,-91,39.0606322,-94.5858549,15.2,-14,28,30,28.78,0
5122562,20010,66611,445,66,2127.5,-88,39.0599048,-94.5859312,15.8,-8,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-97,39.0584845,-94.5860785,14.2,-15,24,30,28.78,0
5122562,20010,66611,445,66,2127.5,-97,39.057746,-94.5861533,14.1,-15,24,30,28.78,0
5122562,20010,66611,445,66,2127.5,-109,39.0565849,-94.5861925,8.8,-16,20,30,28.78,0
5122562,20010,66611,445,66,2127.5,-110,39.056321,-94.5862355,0.5,-16,20,30,28.78,0
5122562,20010,66611,445,66,2127.5,-110,39.0563596,-94.5862528,0.4,-16,20,30,28.78,0
5122562,20010,66611,445,66,2127.5,-112,39.056396,-94.586187,0.2,-18,19,30,28.78,0
5122562,20010,66611,445,66,2127.5,-118,39.0559212,-94.58609,6.4,-19,17,30,28.78,0
5122562,20010,66611,445,66,2127.5,-118,39.0556655,-94.5861703,2.6,-19,17,30,28.78,0
5122562,20010,66611,445,66,2127.5,-116,39.0557176,-94.5861815,0.7,-20,20,30,28.78,0
5122562,20010,66611,445,66,2127.5,-116,39.0557247,-94.586185,0.1,-20,20,30,28.78,0
9087500,35498,876,13,2,1957.6,-100,39.0550879,-94.5862874,9.2,-11,22,30,28.78,0
9087500,35498,876,13,2,1957.6,-96,39.0541779,-94.5863457,8.5,-13,25,30,28.78,0
9087500,35498,876,13,2,1957.6,-98,39.053826,-94.5863119,8,-17,28,30,28.78,0
9087500,35498,876,13,2,1957.6,-95,39.0530015,-94.5864161,8.5,-10,25,30,28.78,0
9087500,35498,876,13,2,1957.6,-95,39.0523991,-94.586394,10,-10,25,30,28.78,0
9087500,35498,876,13,2,1957.6,-95,39.0519243,-94.5863675,10.6,-10,25,30,28.78,0
9087500,35498,876,13,2,1957.6,-93,39.0510228,-94.5863855,11.6,-11,26,30,28.78,0
9087500,35498,876,13,2,1957.6,-100,39.0503762,-94.5864753,11,-15,24,30,28.78,0
9087500,35498,876,13,2,1957.6,-100,39.0499499,-94.5865189,7.1,-15,24,30,28.78,0
9087500,35498,876,13,2,1957.6,-97,39.0497379,-94.586555,5.2,-14,26,30,28.78,0
9844235,38454,876,249,2,1957.6,-97,39.049591,-94.586525,1.3,-16,25,30,28.78,0
9844235,38454,876,249,2,1957.6,-97,39.0495343,-94.5864941,0.4,-16,25,30,28.78,0
9844235,38454,876,249,2,1957.6,-98,39.0494903,-94.5865122,2.1,-16,26,30,28.78,0
9844235,38454,876,249,2,1957.6,-99,39.0492727,-94.5865075,4.2,-18,26,30,28.78,0
9844235,38454,876,249,2,1957.6,-99,39.0491276,-94.5865275,0.6,-18,26,30,28.78,0
9087500,35498,876,13,2,1957.6,-94,39.0491222,-94.5865203,1.1,-14,26,30,28.78,0
9087500,35498,876,13,2,1957.6,-91,39.0491222,-94.5865203,1.1,-14,28,30,28.78,0
9087500,35498,876,13,2,1957.6,-91,39.0486588,-94.5866934,9.2,-14,28,30,28.78,0
5130754,20042,66611,436,66,2127.5,-75,39.0423018,-94.5874606,1.5,-7,31,30,28.78,0
5130754,20042,66611,436,66,2127.5,-75,39.0422907,-94.5875205,1.1,-7,31,30,28.78,0
5130754,20042,66611,436,66,2127.5,-86,39.0422164,-94.5875698,1.1,-16,31,30,28.78,0
5130754,20042,66611,436,66,2127.5,-86,39.0422006,-94.5876916,3.6,-16,31,30,28.78,0
5130754,20042,66611,436,66,2127.5,-86,39.0419663,-94.5881734,7.8,-15,31,30,28.78,0
10108929,39488,66611,330,66,2127.5,-87,39.0415031,-94.5881878,1,-14,29,30,28.78,0
10108929,39488,66611,330,66,2127.5,-87,39.041522,-94.5881608,0.5,-14,29,30,28.78,0
10108929,39488,66611,330,66,2127.5,-90,39.041603,-94.5881146,0.7,-16,30,30,28.78,0
10108929,39488,66611,330,66,2127.5,-91,39.0415914,-94.5880846,0.5,-14,28,30,28.78,0
10108929,39488,66611,330,66,2127.5,-91,39.0416098,-94.5880843,0.3,-14,28,30,28.78,0
10108929,39488,66611,330,66,2127.5,-89,39.0415983,-94.5880788,0.2,-13,29,30,28.78,0
10108929,39488,66611,330,66,2127.5,-89,39.0412766,-94.5880635,7.1,-13,29,30,28.78,0
5130754,20042,66611,436,66,2127.5,-90,39.0408146,-94.5880399,6.2,-14,29,30,28.78,0
5130754,20042,66611,436,66,2127.5,-90,39.0408087,-94.5880487,0.6,-14,29,30,28.78,0
5130754,20042,66611,436,66,2127.5,-88,39.0408544,-94.5880581,0.1,-12,28,30,28.78,0
5130754,20042,66611,436,66,2127.5,-89,39.0408898,-94.5880528,0.2,-15,30,30,28.78,0
5130754,20042,66611,436,66,2127.5,-89,39.0409087,-94.5880547,0.2,-15,30,30,28.78,0
5130754,20042,66611,436,66,2127.5,-84,39.040537,-94.5881454,8.5,-13,31,30,28.78,0
5130754,20042,66611,436,66,2127.5,-84,39.0400404,-94.588198,5.2,-11,29,30,28.78,0
5130754,20042,66611,436,66,2127.5,-84,39.040017,-94.5881859,1.1,-11,29,30,28.78,0
5130754,20042,66611,436,66,2127.5,-88,39.0399525,-94.587673,9.2,-12,28,30,28.78,0
5130754,20042,66611,436,66,2127.5,-78,39.0398435,-94.5871874,3.9,-14,31,30,28.78,0
5130754,20042,66611,436,66,2127.5,-94,39.0391893,-94.5871741,8.7,-16,29,30,28.78,0
10108931,39488,66611,380,66,2127.5,-81,39.0386493,-94.5871264,0.7,-9,30,30,28.78,0
10108931,39488,66611,380,66,2127.5,-81,39.0384341,-94.5871325,4,-9,30,30,28.78,0
10108931,39488,66611,380,66,2127.5,-83,39.0383323,-94.5872138,0.3,-13,31,30,28.78,0
10108931,39488,66611,380,66,2127.5,-83,39.0383491,-94.5872251,0.2,-13,31,30,28.78,0
