cellid,xarfcn,fc,signal,lat,lon,acc,speed,alt,rsrq,rssnr,ss,ta
10118667,876,1957.6,-73,39.0422547,-94.5869635,18.6,0.5,229.1,-13,-1.6,31,3
10118667,876,1957.6,-69,39.0422147,-94.5870468,10.9,1.4,225.2,-10,3.2,31,3
10118667,876,1957.6,-69,39.0421999,-94.5870471,10,0.2,225.2,-10,8.6,31,3
10118667,876,1957.6,-70,39.0421978,-94.5870525,10,0.1,224.4,-8,8.6,31,3
10118667,876,1957.6,-71,39.0421952,-94.5870536,10,0,220.3,-10,11.4,31,2
10118667,876,1957.6,-71,39.0421963,-94.5870533,10,0,220.3,-10,13.8,31,2
10118667,876,1957.6,-67,39.0422815,-94.5868918,10,4.2,220.3,-8,18.6,31,-1
10118667,876,1957.6,-67,39.0424526,-94.586743,8.6,6.8,225.2,-8,14.6,31,-1
10118667,876,1957.6,-78,39.0432165,-94.5868534,8.6,8.9,225.2,-16,18,31,3
9844236,876,1957.6,-81,39.0436669,-94.58683,7.5,10.2,225.2,-15,6,31,-1
9844236,876,1957.6,-83,39.0447987,-94.5867631,8.6,11,225.2,-15,4.2,31,4
9844236,876,1957.6,-83,39.0453947,-94.5867582,8.6,10.1,244.8,-15,-3.6,31,4
8674574,876,1957.6,-91,39.0460544,-94.5867646,10.2,8.2,244.8,-15,0.4,27,8
9844235,876,1957.6,-84,39.0468968,-94.5866752,8,10.3,244.8,-15,10,31,4
9844235,876,1957.6,-84,39.0475082,-94.5866142,9.6,12.9,244.8,-15,7.4,31,4
28475746,9839,1967.8,-113,39.0486109,-94.5865361,9.1,10.3,244.8,,,,
28475746,9839,1967.8,-113,39.0489083,-94.586501,35.8,6.6,240.8,,,,
9087510,5035,731.5,-80,39.0494672,-94.5864646,8.6,3.5,240.8,-13,9.2,30,6
9087510,5035,731.5,-87,39.0495649,-94.5864427,7.3,0.4,243.2,-14,5.6,28,6
9087510,5035,731.5,-83,39.0495215,-94.5864306,9.6,0.2,242.6,-11,13.2,28,4
10108929,66611,2127.5,-97,39.049564,-94.586401,9.1,0.5,244,-16,-4,26,-1
10108929,66611,2127.5,-97,39.0497048,-94.5863825,9.1,4.3,243.2,-16,-5,26,-1
